# time [�s]	Amp[V]	HF [V]	TGC [dB]
0.0	0.298	0.001	0.157
0.1	0.603	0.017	0.315
0.2	0.986	0.977	0.000
0.3	1.314	-0.952	-0.157
0.4	1.454	-1.007	0.472
0.5	1.364	-1.007	0.472
0.6	1.130	0.560	0.315
0.7	0.916	1.001	0.157
0.8	0.856	-0.204	0.000
0.9	0.966	-0.566	0.157
1.0	1.142	1.001	0.315
1.1	1.257	1.001	0.315
1.2	1.254	-0.400	0.315
1.3	1.183	-1.007	0.157
1.4	1.134	-1.007	0.000
1.5	1.158	-0.093	0.157
1.6	1.228	1.001	0.157
1.7	1.280	1.001	0.157
1.8	1.287	-0.920	0.315
1.9	1.275	-1.007	0.157
2.0	1.286	-0.621	0.157
2.1	1.318	1.001	0.000
2.2	1.305	1.001	0.157
2.3	1.179	-0.873	0.315
2.4	0.933	-0.747	0.315
2.5	0.641	-0.267	0.157
2.6	0.410	-0.204	0.157
2.7	0.304	0.174	0.157
2.8	0.309	0.229	0.315
2.9	0.358	0.190	0.157
3.0	0.396	0.387	0.157
3.1	0.407	0.182	0.157
3.2	0.410	-0.330	0.157
3.3	0.417	-0.353	0.157
3.4	0.419	0.080	0.157
3.5	0.394	0.355	0.157
3.6	0.340	0.269	0.157
3.7	0.278	-0.030	0.157
3.8	0.238	-0.204	0.157
3.9	0.231	-0.219	0.157
4.0	0.239	-0.030	0.157
4.1	0.238	0.198	0.157
4.2	0.211	0.166	0.157
4.3	0.168	-0.023	0.157
4.4	0.130	-0.125	0.157
4.5	0.112	-0.109	0.157
4.6	0.114	-0.030	0.157
4.7	0.125	0.056	0.157
4.8	0.135	0.127	0.157
4.9	0.142	0.072	0.157
5.0	0.147	-0.086	0.157
5.1	0.154	-0.164	0.157
5.2	0.161	-0.086	0.157
5.3	0.168	0.033	0.157
5.4	0.176	0.143	0.157
5.5	0.182	0.166	0.157
5.6	0.184	-0.023	0.157
5.7	0.179	-0.180	0.157
5.8	0.167	-0.086	0.315
5.9	0.152	0.064	-0.157
6.0	0.147	0.143	0.472
6.1	0.156	0.111	1.890
6.2	0.173	-0.046	3.150
6.3	0.185	-0.188	3.937
6.4	0.181	-0.101	4.409
6.5	0.159	0.064	4.724
6.6	0.134	0.127	4.882
6.7	0.121	0.096	5.039
6.8	0.127	-0.007	5.197
6.9	0.141	-0.133	5.197
7.0	0.149	-0.117	5.197
7.1	0.139	0.017	5.197
7.2	0.113	0.096	5.354
7.3	0.085	0.080	5.354
7.4	0.068	0.017	5.354
7.5	0.067	-0.046	5.512
7.6	0.075	-0.070	5.512
7.7	0.081	-0.054	5.512
7.8	0.076	0.017	5.512
7.9	0.063	0.056	5.512
8.0	0.047	0.040	5.512
8.1	0.035	-0.007	5.512
8.2	0.031	-0.030	5.669
8.3	0.032	-0.015	5.669
8.4	0.037	0.017	5.669
8.5	0.041	0.040	5.669
8.6	0.045	0.017	5.669
8.7	0.047	-0.038	5.827
8.8	0.044	-0.038	5.827
8.9	0.037	0.001	5.827
9.0	0.026	0.017	5.827
9.1	0.016	0.017	5.827
9.2	0.009	0.001	5.984
9.3	0.007	-0.007	5.984
9.4	0.009	0.001	5.984
9.5	0.011	0.009	5.984
9.6	0.013	0.009	6.142
9.7	0.013	-0.007	5.984
9.8	0.013	-0.015	6.142
9.9	0.013	-0.007	6.142
10.0	0.013	0.001	6.142
10.1	0.012	-0.007	6.142
10.2	0.010	0.009	6.299
10.3	0.008	0.001	6.299
10.4	0.007	0.001	6.299
10.5	0.009	0.009	6.299
10.6	0.011	0.001	6.299
10.7	0.014	-0.015	6.299
10.8	0.015	-0.007	6.457
10.9	0.015	0.009	6.457
11.0	0.014	0.009	6.457
11.1	0.011	-0.007	6.614
11.2	0.007	-0.007	6.614
11.3	0.004	0.001	6.614
11.4	0.003	0.001	6.614
11.5	0.006	0.001	6.614
11.6	0.013	-0.007	6.614
11.7	0.021	-0.023	6.772
11.8	0.024	0.001	6.772
11.9	0.021	0.017	6.772
12.0	0.015	0.009	6.772
12.1	0.009	0.001	6.772
12.2	0.008	-0.015	6.929
12.3	0.013	-0.007	6.929
12.4	0.018	-0.007	6.929
12.5	0.021	0.001	6.929
12.6	0.019	0.017	7.087
12.7	0.017	0.017	7.087
12.8	0.016	0.001	7.087
12.9	0.019	-0.015	7.087
13.0	0.025	-0.023	7.087
13.1	0.027	-0.015	7.087
13.2	0.025	0.009	7.087
13.3	0.019	0.017	7.087
13.4	0.012	0.009	7.244
13.5	0.010	0.009	7.244
13.6	0.012	-0.007	7.244
13.7	0.016	-0.015	7.402
13.8	0.020	-0.015	7.402
13.9	0.019	0.001	7.402
14.0	0.016	0.009	7.402
14.1	0.012	0.009	7.402
14.2	0.009	0.009	7.402
14.3	0.009	-0.007	7.402
14.4	0.009	-0.007	7.559
14.5	0.010	0.001	7.559
14.6	0.011	0.009	7.559
14.7	0.012	0.001	7.559
14.8	0.012	-0.015	7.717
14.9	0.013	-0.007	7.717
15.0	0.012	0.001	7.717
15.1	0.011	0.009	7.717
15.2	0.010	-0.007	7.717
15.3	0.011	-0.007	7.874
15.4	0.012	-0.007	7.874
15.5	0.013	0.001	7.874
15.6	0.011	0.009	7.874
15.7	0.008	0.001	7.874
15.8	0.004	0.001	7.874
15.9	0.002	0.001	8.031
16.0	0.004	0.001	8.031
16.1	0.008	-0.007	8.031
16.2	0.012	-0.007	8.189
16.3	0.014	-0.007	8.189
16.4	0.013	0.001	8.189
16.5	0.011	0.009	8.189
16.6	0.010	0.009	8.189
16.7	0.013	0.009	8.189
16.8	0.019	0.001	8.189
16.9	0.024	-0.023	8.189
17.0	0.027	-0.023	8.346
17.1	0.024	0.001	8.346
17.2	0.018	0.017	8.346
17.3	0.011	0.001	8.346
17.4	0.006	-0.007	8.504
17.5	0.005	-0.007	8.504
17.6	0.007	0.001	8.504
17.7	0.010	-0.007	8.504
17.8	0.012	0.001	8.504
17.9	0.013	0.009	8.504
18.0	0.012	0.001	8.661
18.1	0.011	-0.015	8.661
18.2	0.011	-0.007	8.661
18.3	0.012	0.001	8.819
18.4	0.012	-0.007	8.819
18.5	0.011	-0.007	8.661
18.6	0.008	0.001	8.819
18.7	0.006	0.001	8.819
18.8	0.006	0.001	8.819
18.9	0.008	0.001	8.819
19.0	0.010	-0.007	8.819
19.1	0.011	-0.007	8.819
19.2	0.009	0.001	8.976
19.3	0.006	0.001	8.976
19.4	0.005	0.001	8.976
19.5	0.008	0.001	9.134
19.6	0.013	-0.015	9.134
19.7	0.017	-0.007	9.134
19.8	0.017	0.001	9.134
19.9	0.014	0.009	9.134
20.0	0.013	0.009	9.134
20.1	0.015	0.009	9.291
20.2	0.020	-0.015	9.291
20.3	0.024	-0.023	9.291
20.4	0.025	0.001	9.291
20.5	0.023	0.017	9.291
20.6	0.019	0.001	9.291
20.7	0.016	-0.015	9.449
20.8	0.015	-0.007	9.449
20.9	0.015	0.009	9.449
21.0	0.015	0.001	9.606
21.1	0.013	-0.007	9.606
21.2	0.011	0.001	9.606
21.3	0.008	0.001	9.606
21.4	0.007	0.001	9.606
21.5	0.008	0.001	9.606
21.6	0.011	0.001	9.764
21.7	0.013	-0.007	9.764
21.8	0.013	-0.007	9.764
21.9	0.013	-0.007	9.764
22.0	0.012	0.001	9.921
22.1	0.011	0.001	9.921
22.2	0.012	0.009	9.921
22.3	0.015	-0.007	9.921
22.4	0.017	-0.015	9.921
22.5	0.017	0.001	10.079
22.6	0.016	0.009	9.921
22.7	0.012	0.001	9.921
22.8	0.010	0.001	10.079
22.9	0.010	-0.007	10.079
23.0	0.011	-0.007	10.079
23.1	0.013	0.001	10.236
23.2	0.013	0.001	10.236
23.3	0.012	0.001	10.236
23.4	0.010	0.001	10.236
23.5	0.010	0.001	10.236
23.6	0.012	0.001	10.394
23.7	0.013	-0.007	10.394
23.8	0.014	-0.007	10.394
23.9	0.015	0.001	10.394
24.0	0.015	0.001	10.394
24.1	0.016	-0.007	10.394
24.2	0.016	0.001	10.394
24.3	0.016	0.009	10.551
24.4	0.015	0.001	10.551
24.5	0.014	0.001	10.551
24.6	0.015	0.001	10.709
24.7	0.016	-0.007	10.709
24.8	0.018	-0.007	10.709
24.9	0.018	0.001	10.709
25.0	0.017	0.009	10.709
25.1	0.015	0.001	10.709
25.2	0.016	-0.007	10.709
25.3	0.018	0.001	10.709
25.4	0.021	0.001	10.866
25.5	0.021	-0.007	10.866
25.6	0.019	0.009	10.866
25.7	0.017	0.009	11.024
25.8	0.017	-0.007	11.024
25.9	0.020	-0.007	11.024
26.0	0.023	0.001	11.024
26.1	0.023	0.009	11.024
26.2	0.020	0.001	11.024
26.3	0.017	-0.007	11.024
26.4	0.018	0.001	11.181
26.5	0.022	0.001	11.181
26.6	0.027	-0.007	11.181
26.7	0.028	-0.007	11.181
