# depth[mm]	Amp[V]	HF [V]	TGC [dB]
0.0	0.470	0.005	0.315
0.1	0.725	0.013	0.472
0.3	0.991	0.989	0.157
0.4	1.218	-0.940	-0.157
0.5	1.368	-1.011	0.472
0.7	1.419	-1.011	0.472
0.8	1.373	0.541	0.315
1.0	1.271	0.997	0.315
1.1	1.181	0.997	0.157
1.2	1.168	-1.011	0.315
1.4	1.245	0.997	0.315
1.5	1.354	0.997	0.315
1.6	1.407	0.911	0.157
1.8	1.356	-1.011	0.315
1.9	1.244	-1.011	0.157
2.0	1.169	-0.499	0.315
2.2	1.202	0.997	0.157
2.3	1.322	0.997	0.157
2.5	1.431	0.997	0.315
2.6	1.440	-1.011	0.472
2.7	1.352	-1.011	0.157
2.9	1.252	0.635	0.157
3.0	1.229	0.997	0.157
3.1	1.284	0.942	0.315
3.3	1.328	-0.719	0.315
3.4	1.267	-1.011	0.315
3.5	1.089	-1.011	0.157
3.7	0.887	-0.570	0.157
3.8	0.778	-0.089	0.315
4.0	0.802	0.312	0.315
4.1	0.891	0.871	0.157
4.2	0.926	0.785	0.157
4.4	0.840	0.092	0.157
4.5	0.665	-0.522	0.315
4.6	0.497	-0.444	0.315
4.8	0.411	0.084	0.157
4.9	0.406	0.399	0.157
5.0	0.418	0.289	0.315
5.2	0.388	-0.082	0.315
5.3	0.310	-0.278	0.315
5.5	0.228	-0.176	0.315
5.6	0.190	0.084	0.315
5.7	0.202	0.202	0.157
5.9	0.227	0.107	0.315
6.0	0.224	-0.097	0.157
6.1	0.184	-0.184	0.315
6.3	0.137	-0.082	0.315
6.4	0.124	0.037	0.157
6.5	0.158	0.147	0.157
6.7	0.214	0.163	0.315
6.8	0.256	-0.034	0.315
7.0	0.261	-0.239	0.315
7.1	0.243	-0.208	0.315
7.2	0.230	-0.003	0.157
7.4	0.241	0.170	0.157
7.5	0.269	0.265	0.315
7.6	0.288	0.084	0.157
7.8	0.280	-0.208	0.315
7.9	0.249	-0.223	0.315
8.0	0.218	0.005	0.157
8.2	0.209	0.186	0.157
8.3	0.222	0.194	0.315
8.5	0.239	0.044	0.315
8.6	0.236	-0.176	0.315
8.7	0.209	-0.200	0.315
8.9	0.172	-0.050	0.315
9.0	0.145	0.084	0.157
9.1	0.139	0.139	0.157
9.3	0.144	0.092	0.315
9.4	0.144	-0.042	0.315
9.5	0.128	-0.121	0.157
9.7	0.100	-0.066	0.157
9.8	0.073	0.021	0.157
10.0	0.060	0.060	0.315
10.1	0.061	0.044	0.315
10.2	0.068	-0.003	0.157
10.4	0.074	-0.050	0.315
10.5	0.075	-0.074	0.315
10.6	0.075	-0.019	0.315
10.8	0.075	0.052	0.315
10.9	0.072	0.068	0.157
11.1	0.065	0.013	0.315
11.2	0.053	-0.034	0.157
11.3	0.042	-0.034	0.157
11.5	0.037	-0.003	0.315
11.6	0.043	0.037	0.315
11.7	0.054	0.029	0.157
11.9	0.061	-0.034	0.157
12.0	0.060	-0.058	0.315
12.1	0.051	-0.019	0.315
12.3	0.039	0.021	0.157
12.4	0.030	0.029	0.157
12.6	0.026	0.013	0.157
12.7	0.024	-0.003	0.157
12.8	0.022	-0.011	0.315
13.0	0.020	-0.003	0.157
13.1	0.019	0.005	0.157
13.2	0.020	-0.003	0.315
13.4	0.022	-0.019	0.157
13.5	0.023	-0.019	0.315
13.6	0.022	-0.003	0.315
13.8	0.022	-0.003	0.157
13.9	0.026	0.029	0.157
14.1	0.038	0.021	0.157
14.2	0.051	-0.034	0.315
14.3	0.060	-0.034	0.315
14.5	0.061	0.044	0.315
14.6	0.055	0.037	0.157
14.7	0.050	-0.050	0.157
14.9	0.051	-0.019	0.315
15.0	0.058	0.044	0.315
15.1	0.064	-0.026	0.157
15.3	0.062	-0.066	0.157
15.4	0.054	0.013	0.157
15.6	0.046	0.044	0.157
15.7	0.050	0.029	0.157
15.8	0.068	0.052	0.157
16.0	0.095	-0.019	0.315
16.1	0.120	-0.121	0.315
16.2	0.133	-0.082	0.157
16.4	0.131	0.052	0.157
16.5	0.118	0.115	0.315
16.6	0.101	0.044	0.315
16.8	0.085	-0.058	0.157
16.9	0.070	-0.066	0.315
17.1	0.058	-0.026	0.157
17.2	0.049	0.021	0.315
17.3	0.043	0.044	0.157
17.5	0.040	0.021	0.157
17.6	0.038	-0.019	0.315
17.7	0.036	-0.026	0.000
17.9	0.032	-0.026	0.315
18.0	0.027	-0.003	1.890
18.1	0.024	0.021	3.307
18.3	0.024	0.013	4.094
18.4	0.030	-0.019	4.724
18.6	0.043	-0.034	5.197
18.7	0.061	0.029	5.354
18.8	0.079	0.076	5.512
19.0	0.093	0.005	5.512
19.1	0.098	-0.089	5.669
19.2	0.092	-0.066	5.669
19.4	0.077	0.037	5.827
19.5	0.057	0.052	5.827
19.6	0.039	0.021	5.827
19.8	0.027	-0.003	5.984
19.9	0.025	-0.011	5.984
20.1	0.032	-0.026	5.984
20.2	0.046	-0.042	5.984
20.3	0.062	-0.026	5.984
