Distance[µs]	Cepstrum-Amplitude[mV]
0,0	0,650
0,3	0,140
0,5	0,052
0,8	0,052
1,1	0,011
1,4	0,026
1,6	0,006
1,9	0,021
2,2	0,059
2,5	0,012
2,7	0,039
3,0	0,005
3,3	0,011
3,5	0,017
3,8	0,004
4,1	0,008
4,4	0,006
4,6	0,003
4,9	0,009
5,2	0,002
5,5	0,007
5,7	0,012
6,0	0,009
6,3	0,002
6,5	0,007
6,8	0,004
7,1	0,003
7,4	0,001
7,6	0,005
7,9	0,002
8,2	0,004
8,5	0,001
8,7	0,002
9,0	0,002
9,3	0,005
9,5	0,002
9,8	0,002
10,1	0,003
10,4	0,000
10,6	0,001
10,9	0,003
11,2	0,002
11,5	0,002
11,7	0,003
12,0	0,002
12,3	0,004
12,6	0,001
12,8	0,003
13,1	0,005
13,4	0,005
13,6	0,004
13,9	0,001
14,2	0,001
14,5	0,003
14,7	0,001
15,0	0,006
15,3	0,007
15,6	0,009
15,8	0,009
16,1	0,003
16,4	0,002
16,6	0,002
16,9	0,004
17,2	0,002
17,5	0,005
17,7	0,011
18,0	0,014
18,3	0,009
18,6	0,008
18,8	0,005
19,1	0,005
19,4	0,001
19,6	0,007
19,9	0,004
20,2	0,006
20,5	0,005
20,7	0,004
21,0	0,002
21,3	0,006
21,6	0,002
21,8	0,003
22,1	0,003
22,4	0,005
22,6	0,003
22,9	0,003
23,2	0,001
23,5	0,002
23,7	0,002
24,0	0,003
24,3	0,006
24,6	0,005
24,8	0,003
25,1	0,003
25,4	0,004
25,6	0,003
25,9	0,002
26,2	0,003
26,5	0,003
26,7	0,002
27,0	0,001
27,3	0,002
27,6	0,003
27,8	0,004
28,1	0,002
28,4	0,001
28,6	0,002
28,9	0,003
29,2	0,002
29,5	0,004
29,7	0,003
30,0	0,001
30,3	0,001
30,6	0,002
30,8	0,001
31,1	0,004
31,4	0,003
31,7	0,002
31,9	0,002
32,2	0,001
32,5	0,002
32,7	0,000
33,0	0,001
33,3	0,003
33,6	0,005
33,8	0,002
34,1	0,001
34,4	0,003
34,7	0,003
34,9	0,002
35,2	0,001
35,5	0,004
35,7	0,005
36,0	0,007
36,3	0,005
36,6	0,003
36,8	0,006
37,1	0,006
37,4	0,002
37,7	0,005
37,9	0,006
38,2	0,008
38,5	0,011
38,7	0,014
39,0	0,020
39,3	0,005
39,6	0,008
39,8	0,015
40,1	0,018
40,4	0,027
40,7	0,018
40,9	0,018
41,2	0,012
41,5	0,015
41,7	0,008
42,0	0,012
42,3	0,004
42,6	0,012
42,8	0,002
43,1	0,002
43,4	0,000
43,7	0,005
43,9	0,004
44,2	0,006
44,5	0,004
44,7	0,002
45,0	0,006
45,3	0,004
45,6	0,002
45,8	0,002
46,1	0,003
46,4	0,001
46,7	0,006
46,9	0,003
47,2	0,004
47,5	0,002
47,7	0,001
48,0	0,002
48,3	0,001
48,6	0,002
48,8	0,004
49,1	0,003
49,4	0,004
49,7	0,005
49,9	0,001
50,2	0,002
50,5	0,002
50,8	0,003
51,0	0,003
51,3	0,004
51,6	0,002
51,8	0,004
52,1	0,004
52,4	0,003
52,7	0,001
52,9	0,006
53,2	0,003
53,5	0,001
53,8	0,004
54,0	0,005
54,3	0,007
54,6	0,000
54,8	0,004
55,1	0,008
55,4	0,008
55,7	0,007
55,9	0,008
56,2	0,002
56,5	0,009
56,8	0,009
57,0	0,008
57,3	0,025
57,6	0,002
57,8	0,018
58,1	0,023
58,4	0,014
58,7	0,017
58,9	0,015
59,2	0,013
59,5	0,016
59,8	0,009
60,0	0,009
60,3	0,016
60,6	0,015
60,8	0,006
61,1	0,009
61,4	0,007
61,7	0,004
61,9	0,001
62,2	0,009
62,5	0,003
62,8	0,007
63,0	0,007
63,3	0,007
63,6	0,005
63,8	0,004
64,1	0,005
64,4	0,007
64,7	0,009
64,9	0,006
65,2	0,004
65,5	0,005
65,8	0,005
66,0	0,002
66,3	0,001
66,6	0,002
66,8	0,004
67,1	0,001
67,4	0,001
67,7	0,002
67,9	0,003
68,2	0,002
68,5	0,002
68,8	0,003
69,0	0,003
69,3	0,003
69,6	0,001
69,8	0,005
