# depth[mm]	Amp[V]	HF [V]	TGC [dB]
0.0	0.299	0.001	0.157
0.1	0.605	0.016	0.315
0.3	0.988	0.977	0.000
0.4	1.317	-0.960	-0.157
0.5	1.457	-1.007	0.472
0.7	1.365	-1.007	0.472
0.8	1.130	0.560	0.315
0.9	0.915	1.001	0.157
1.1	0.854	-0.196	0.000
1.2	0.963	-0.566	0.157
1.3	1.140	1.001	0.315
1.5	1.256	1.001	0.315
1.6	1.255	-0.401	0.315
1.7	1.185	-1.007	0.157
1.9	1.135	-1.007	0.157
2.0	1.158	-0.110	0.157
2.1	1.227	1.001	0.157
2.3	1.281	1.001	0.157
2.4	1.290	-0.921	0.315
2.5	1.279	-1.007	0.315
2.7	1.289	-0.629	0.157
2.8	1.315	1.001	0.000
2.9	1.297	1.001	0.157
3.1	1.168	-0.850	0.315
3.2	0.926	-0.747	0.315
3.3	0.642	-0.275	0.157
3.5	0.420	-0.212	0.000
3.6	0.318	0.182	0.157
3.7	0.320	0.237	0.157
3.9	0.363	0.198	0.157
4.0	0.395	0.387	0.157
4.1	0.405	0.182	0.157
4.3	0.410	-0.330	0.157
4.4	0.421	-0.354	0.157
4.5	0.425	0.087	0.157
4.7	0.400	0.363	0.157
4.8	0.343	0.268	0.157
4.9	0.278	-0.031	0.157
5.1	0.234	-0.204	0.157
5.2	0.226	-0.212	0.157
5.3	0.235	-0.023	0.157
5.5	0.236	0.198	0.157
5.6	0.211	0.166	0.157
5.7	0.169	-0.031	0.157
5.9	0.132	-0.125	0.157
6.0	0.113	-0.110	0.157
6.1	0.116	-0.023	0.157
6.3	0.129	0.064	0.157
6.4	0.141	0.135	0.157
6.5	0.150	0.072	0.157
6.7	0.154	-0.094	0.157
6.8	0.157	-0.165	0.315
6.9	0.160	-0.086	0.157
7.1	0.165	0.032	0.157
7.2	0.172	0.142	0.157
7.3	0.183	0.166	0.157
7.5	0.192	-0.023	0.157
7.6	0.192	-0.188	0.315
7.7	0.180	-0.102	0.315
7.9	0.164	0.072	-0.157
8.0	0.155	0.150	0.315
8.1	0.161	0.111	1.732
8.3	0.178	-0.047	2.992
8.4	0.191	-0.196	3.937
8.5	0.186	-0.102	4.409
8.7	0.164	0.072	4.724
8.8	0.137	0.127	4.882
8.9	0.121	0.095	5.039
9.1	0.124	-0.007	5.039
9.2	0.138	-0.133	5.197
9.3	0.145	-0.110	5.197
9.5	0.135	0.016	5.197
9.6	0.111	0.095	5.354
9.7	0.085	0.079	5.354
9.9	0.071	0.016	5.354
10.0	0.072	-0.047	5.512
10.1	0.081	-0.078	5.512
10.3	0.086	-0.054	5.512
10.4	0.079	0.016	5.512
10.5	0.062	0.056	5.512
10.7	0.045	0.040	5.512
10.8	0.034	-0.007	5.512
10.9	0.031	-0.031	5.512
11.1	0.035	-0.015	5.512
11.2	0.041	0.016	5.669
11.3	0.046	0.048	5.669
11.5	0.049	0.016	5.669
11.6	0.049	-0.039	5.827
11.7	0.045	-0.039	5.827
11.9	0.037	0.001	5.827
12.0	0.025	0.016	5.984
12.1	0.015	0.016	5.827
12.3	0.009	0.001	5.984
12.4	0.010	-0.007	5.984
12.5	0.014	0.001	5.984
