# xr2   D0r    xl2   D0l      xrM   D0rM     xlM    D0lM
# cm   mm      cm    mm       cm    mm       cm     mm
  27   0.982   29    -0.010   27    1.420    29     0.595
  25   0.960   31    -0.005   25    1.400    31     0.550
  23   0.952   33    -0.023   23    1.384    33     0.542
  21   0.950   35    -0.035   21    1.315    35     0.521
  19   0.949   37    -0.040   19    1.295    37     0.530
  17   0.963   39    -0.009   17    1.252    39     0.503
  15   0.978   41     0.000   15    1.242    41     0.458
  13   1.028   43     0.009   13    1.288    39     0.422
  11   1.100   45     0.058   11    1.282    45     0.441
  9    1.160   47     0.031   9     1.335    47     0.352
  7    1.220   49     0.015   7     1.353    49     0.280
  5    1.300   51    -0.015   5     1.380    51     0.177
  3    1.412   53    -0.035   3     1.480    53     0.078
