# t     T1    pb    T2    pa    Leistung
# [min] [°C]  [bar] [°C]  [bar] [W]
  0     20.5  5.3   20.6  5.1     0
  1     21.4  6.9   20.6  2.4   166
  2     22.2  7.1   20.5  2.8   168
  3     23.3  7.5   19.5  2.9   185
  4     24.9  8.0   18.1  3.2   195
  5     26.8  8.5   16.3  3.1   198
  6     28.7  8.7   14.5  3.2   200
  7     30.7  9.0   12.7  3.2   205
  8     32.5  9.5   10.9  3.2   207
  9     34.5  9.9    9.1  3.1   207
 10     36.1 10.4    7.6  3.1   210
 11     37.8 10.6    5.9  3.2   211
 12     39.6 11.1    4.3  3.2   212
 13     41.2 11.5    2.8  3.2   214
 14     42.8 11.8    1.5  3.1   211
 15     44.2 12.3    0.5  3.2   213
 16     45.9 12.5   -0.1  3.2   213
 17     47.4 12.9   -0.6  3.2   211
 18     48.7 13.0   -0.9  3.2   209
 19     49.9 13.5   -1.3  3.3   206
