# n u scalaU i scalaI/mA u skalaU i scalaI/mA
100 57.2 1 21.5  3 91.0 1 15.4 0.3
 95 57.1 1 21.9  3 90.9 1 15.6 0.3
 90 56.9 1 23.0  3 90.5 1 16.0 0.3
 85 56.1 1 23.9  3 90.0 1 16.6 0.3
 80 55.5 1 24.8  3 89.9 1 17.1 0.3
 75 55.0 1 26.0  3 89.4 1 17.1 0.3
 70 54.0 1 27.1  3 88.9 1 18.6 0.3
 65 53.2 1 28.6  3 88.5 1 19.4 0.3
 60 52.5 1 29.9  3 88.2 1 20.4 0.3
 55 50.2 1 37.0 10 87.1 1 22.3 0.3
 50 49.2 1 38.8 10 86.2 1 23.6 0.3
 45 48.1 1 41.0 10 84.9 1 25.8 0.3
 40 46.3 1 43.9 10 83.0 1 28.2 0.3
 35 45.0 1 46.0 10 80.2 1 38.0 1.0
 30 43.3 1 49.0 10 73.1 1 42.5 1.0
 25 40.8 1 54.0 10 72.0 1 48.0 1.0
 20 37.0 1 60.0 10 66.6 1 55.0 1.0
 15 33.2 1 66.1 10 60.9 1 63.8 1.0
 
