# t, U, lnu, tlnu, dt
1.079999999999999993e-05 9.280000000000000471e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.166399999999999974e-10
3.999999999999999650e-05 8.320000000000000728e-01 -1.091992919649918403e-01 -4.367971678599673395e-06 1.599999999999999645e-09
6.879999999999999180e-05 7.600000000000000089e-01 -1.997132995058237825e-01 -1.374027500600067397e-05 4.733439999999998908e-09
9.759999999999998711e-05 6.880000000000000560e-01 -2.992428948528568777e-01 -2.920610653763882641e-05 9.525759999999996685e-09
1.259999999999999998e-04 6.400000000000000133e-01 -3.715635564324829554e-01 -4.681700811049285035e-05 1.587599999999999936e-08
1.559999999999999972e-04 5.999999999999999778e-01 -4.361020775700542029e-01 -6.803192410092845539e-05 2.433600000000000033e-08
1.840000000000000001e-04 5.600000000000000533e-01 -5.050949490570056932e-01 -9.293747062648904120e-05 3.385600000000000220e-08
2.139999999999999975e-04 5.280000000000000249e-01 -5.639354490799390884e-01 -1.206821861031069588e-04 4.579600000000000192e-08
2.420000000000000005e-04 5.040000000000000036e-01 -6.104554647148321411e-01 -1.477302224609893780e-04 5.856400000000000084e-08
2.709999999999999735e-04 4.799999999999999822e-01 -6.592456288842638568e-01 -1.786555654276354883e-04 7.344099999999998907e-08
2.999999999999999737e-04 4.560000000000000164e-01 -7.105389232718144488e-01 -2.131616769815443239e-04 8.999999999999998534e-08
3.289999999999999739e-04 4.400000000000000022e-01 -7.462570058738937639e-01 -2.455185549325110384e-04 1.082409999999999830e-07
3.579999999999999741e-04 4.239999999999999880e-01 -7.832982775542427500e-01 -2.804207833644188803e-04 1.281639999999999822e-07
3.869999999999999742e-04 4.160000000000000364e-01 -8.023464725249371821e-01 -3.105080848671506631e-04 1.497689999999999695e-07
4.159999999999999744e-04 4.080000000000000293e-01 -8.217645583820387678e-01 -3.418540562869281318e-04 1.730559999999999847e-07
