# u_ges steigung
4.048582995951416907e-01 3.230000000000000093e-01
8.097165991902833815e-01 3.230000000000000093e-01
1.214574898785425017e+00 3.140000000000000013e-01
1.619433198380566763e+00 3.320000000000000173e-01
2.024291497975708509e+00 3.039999999999999925e-01
2.429149797570850033e+00 2.849999999999999756e-01
2.834008097165992002e+00 2.469999999999999973e-01
3.238866396761133526e+00 1.900000000000000022e-01
3.643724696356275050e+00 9.500000000000000111e-02
4.048582995951417018e+00 5.700000000000000205e-02
4.453441295546558543e+00 0.000000000000000000e+00
4.858299595141700067e+00 0.000000000000000000e+00
