# ua_ges incline
4.123711340206185350e-01 4.754901960784296833e-01
8.247422680412370699e-01 4.754901960784324033e-01
1.237113402061855716e+00 4.754901960784296833e-01
1.649484536082474140e+00 6.339869281045755756e-01
2.061855670103092564e+00 6.339869281045755756e-01
2.474226804123711432e+00 5.547385620915039617e-01
2.886597938144329856e+00 6.339869281045755756e-01
3.298969072164948280e+00 7.132352941176445249e-01
3.711340206185566704e+00 7.924836601307215789e-01
4.123711340206185127e+00 7.924836601307188033e-01
4.536082474226803996e+00 7.924836601307188033e-01
4.948453608247422864e+00 9.509803921568620311e-01
5.360824742268040843e+00 1.030228758169933645e+00
5.773195876288659711e+00 1.188725490196079537e+00
6.185567010309277691e+00 1.267973856209151151e+00
6.597938144329896559e+00 1.347222222222221433e+00
7.010309278350515427e+00 1.584967320261437607e+00
7.422680412371133407e+00 1.981209150326798563e+00
7.835051546391752275e+00 2.377450980392156410e+00
8.247422680412370255e+00 3.011437908496731986e+00
8.453608247422680577e+00 1.426470588235294601e+00
8.659793814432989123e+00 6.339869281045751315e-01
8.865979381443297669e+00 3.169934640522875657e-01
9.072164948453607991e+00 1.584967320261438106e-01
9.484536082474226859e+00 0.000000000000000000e+00
9.896907216494845727e+00 0.000000000000000000e+00
1.030927835051546282e+01 0.000000000000000000e+00
