#Zählrohrwinkel	Rate bei 35kV
#2*theta/�	R(35kV)/Imp/s
26.0	 43.0
26.1	 54.0
26.2	 66.0
26.3	 87.0
26.4	109.0
26.5	129.0
26.6	150.0
26.7	178.0
26.8	199.0
26.9	212.0
27.0	231.0
27.1	240.0
27.2	256.0
27.3	272.0
27.4	274.0
27.5	282.0
27.6	291.0
27.7	286.0
27.8	281.0
27.9	269.0
28.0	265.0
28.1	254.0
28.2	238.0
28.3	232.0
28.4	224.0
28.5	217.0
28.6	214.0
28.7	201.0
28.8	191.0
28.9	177.0
29.0	162.0
29.1	142.0
29.2	140.0
29.3	116.0
29.4	104.0
29.5	 95.0
29.6	 81.0
29.7	 69.0
29.8	 68.0
29.9	 55.0
30.0	 48.0
