#Zählrohrwinkel	Rate bei 35kV
#2*theta/�	R(35kV)/Imp/s
 8.0 	  45.0
 8.4 	  36.0
 8.8 	  36.0
 9.2 	  33.0
 9.6 	  42.0
10.0 	  62.0
10.4 	  88.0
10.8 	 109.0
11.2 	 152.0
11.6 	 158.0
12.0 	 194.0
12.4 	 203.0
12.8 	 220.0
13.2 	 252.0
13.6 	 268.0
14.0 	 283.0
14.4 	 291.0
14.8 	 304.0
15.2 	 308.0
15.6 	 325.0
16.0 	 337.0
16.4 	 346.0
16.7 	 358.0
17.2 	 354.0
17.6 	 381.0
18.0 	 370.0
18.4 	 405.0
18.8 	 392.0
19.2 	 402.0
19.6 	 410.0
20.0 	 412.0
20.4 	 411.0
20.8 	 410.0
21.2 	 430.0
21.6 	 427.0
22.0 	 415.0
22.4 	 413.0
22.8 	 413.0
23.2 	 406.0
23.6 	 382.0
24.0 	 391.0
24.4 	 399.0
24.8 	 380.0
25.2 	 380.0
25.6 	 368.0
26.0 	 377.0
26.4 	 345.0
26.8 	 320.0
27.2 	 297.0
27.6 	 290.0
28.0 	 276.0
28.4 	 273.0
28.8 	 267.0
29.2 	 258.0
29.6 	 251.0
30.0 	 266.0
30.4 	 256.0
30.8 	 244.0
31.2 	 236.0
31.6 	 229.0
32.0 	 232.0
32.4 	 225.0
32.8 	 211.0
33.2 	 209.0
33.6 	 207.0
34.0 	 210.0
34.4 	 196.0
34.8 	 193.0
35.2 	 179.0
35.5 	 187.0
36.0 	 171.0
36.4 	 161.0
36.8 	 166.0
37.2 	 157.0
37.5 	 150.0
38.0 	 155.0
38.4 	 137.0
38.8 	 143.0
39.2 	 158.0
39.5 	 313.0
40.0	1363.0
40.4	1455.0
40.8	 372.0
41.2	 195.0
41.5	 192.0
42.0	 170.0
42.4	 169.0
42.8	 169.0
43.2	 176.0
43.6	 188.0
44.0	 352.0
44.4	4304.0
44.8	4040.0
45.2	3946.0
45.5	 268.0
46.0	 148.0
46.4	 130.0
46.8	 110.0
47.2	 112.0
47.6	 102.0
48.0	  97.0
48.4	  92.0
48.8	  92.0
49.2	  83.0
49.6	  80.0
50.0	  76.0
50.4	  73.0
50.8	  79.0
51.2	  69.0
51.6	  63.0
52.0	  76.0
