#Z�hlrohrwinkel	Rate bei 35kV
#2*theta/�	R(35kV)/Imp/s
22.0	44.0
22.2	45.0
22.4	44.0
22.6	42.0
22.8	41.0
23.0	37.0
23.2	39.0
23.4	39.0
23.6	40.0
23.8	40.0
24.0	39.0
24.2	41.0
24.4	41.0
24.6	42.0
24.8	47.0
25.0	47.0
25.2	51.0
25.4	47.0
25.6	45.0
25.8	46.0
26.0	42.0
26.2	40.0
26.4	41.0
26.6	37.0
26.8	32.0
27.0	32.0
27.2	32.0
27.4	33.0
27.6	31.0
27.8	29.0
28.0	28.0
28.2	32.0
28.4	31.0
28.6	36.0
28.8	39.0
29.0	46.0
29.2	49.0
29.4	48.0
29.6	50.0
29.8	46.0
30.0	49.0
30.2	45.0
30.4	41.0
30.6	42.0
30.8	41.0
31.0	38.0
