#Z�hlrohrwinkel	Rate bei 35kV mit Zr
#2*theta/�	R(35kV)/Imp/s
16.0	145.0
16.2	141.0
16.4	143.0
16.6	139.0
16.7	135.0
17.0	130.0
17.2	131.0
17.4	126.0
17.6	129.0
17.7	127.0
18.0	122.0
18.2	121.0
18.4	116.0
18.6	116.0
18.8	119.0
19.0	134.0
19.2	169.0
19.4	211.0
19.6	239.0
19.8	269.0
20.0	285.0
20.2	291.0
20.4	289.0
20.6	293.0
20.8	282.0
21.0	292.0
21.2	285.0
21.4	277.0
21.6	278.0
21.7	279.0
22.0	268.0
22.2	264.0
22.4	266.0
22.6	263.0
22.8	255.0
23.0	253.0
23.2	242.0
23.4	246.0
23.6	232.0
23.8	241.0
24.0	228.0
