# U/V Imp/60s I/μA
300     0 0.05
310 11511 0.1
320 12126 0.15
330 12288 0.2
340 12309 0.2
350 12449 0.2
360 12240 0.2
370 12498 0.2
380 12484 0.25
390 12615 0.3
400 12668 0.32
410 12663 0.39
420 12648 0.4
430 12899 0.4
440 12715 0.4
450 12858 0.41
460 12931 0.5
470 12905 0.55
480 12744 0.6
490 12745 0.6
500 12750 0.6
510 12784 0.6
520 12767 0.6
530 12693 0.65
540 12860 0.7
550 12623 0.7
560 12936 0.8
570 12709 0.8
580 12952 0.8
590 13016 0.85
600 12937 0.9
610 12956 0.9
620 13136 1.0
630 12962 1.0
640 13118 1.0
650 13053 1.0
660 13338 1.1
670 13150 1.0
680 13358 1.1
690 13630 1.2
700 13539 1.2
